Year,Species,Population,Region,Conservation Status,Gender Ratio,Habitat Area(km²),Primary Threat,Mortality Rate(%/year),Breeding Pairs,Average Lifespan,Human Settlements(count within 10km)
1900,Indian Gaur,772,Assam,Critically Endangered,89.02,24716.64,Climate Change,5.22,234,22,27
1900,Indian Gaur,8387,Tamil Nadu,Vulnerable,88.89,14576.57,Poaching,2.28,2441,22,45
1900,Indian Gaur,3671,Sikkim,Endangered,90.83,16487.5,Disease,4.41,1123,22,29
1900,Indian Gaur,3068,Tamil Nadu,Critically Endangered,86.75,26458.86,Disease,2.66,1136,22,2
1900,Indian Gaur,7769,Assam,Vulnerable,112.12,4355.9,Poaching,12.14,2145,22,22
1900,Indian Gaur,500,Sikkim,Critically Endangered,99.48,31286.76,Disease,14.75,145,22,30
1900,Indian Gaur,6167,West Bengal,Critically Endangered,106.36,34466.42,Climate Change,8.23,2220,22,25
1900,Indian Gaur,5449,Assam,Critically Endangered,85.88,4307.08,Human Conflict,8.65,2124,22,0
1900,Indian Leopard,8856,Assam,Vulnerable,114.37,38449.62,Climate Change,5.62,2859,15,15
1900,Indian Leopard,4013,West Bengal,Vulnerable,100.29,47639.98,Climate Change,10.44,1418,15,11
1900,Indian Leopard,5293,Assam,Vulnerable,114.05,9732.69,Poaching,7.95,1665,15,13
1900,Indian Leopard,946,Sikkim,Endangered,109.81,5416.35,Climate Change,12.14,314,15,15
1900,Indian Leopard,1135,Tamil Nadu,Vulnerable,119.03,36368.13,Climate Change,2.24,367,15,14
1900,Indian Leopard,6983,Madhya Pradesh,Endangered,119.44,27653.07,Human Conflict,13.8,2482,15,3
1900,Indian Leopard,6496,Maharashtra,Critically Endangered,100.81,24099.98,Poaching,13.45,2016,15,39
1900,Indian Rhinoceros,1551,Uttarakhand,Vulnerable,114.29,8701.37,Climate Change,7.07,505,40,26
1900,Indian Rhinoceros,2791,Karnataka,Endangered,101.96,18628.35,Climate Change,13.3,884,40,49
1900,Indian Rhinoceros,1358,Tamil Nadu,Critically Endangered,96.55,15058.07,Poaching,11.39,463,40,12
1900,Indian Rhinoceros,3327,Madhya Pradesh,Critically Endangered,103.6,31243.56,Climate Change,3.77,965,40,33
1900,Indian Rhinoceros,3809,Assam,Vulnerable,114.16,10594.63,Poaching,4.42,1145,40,35
1900,Indian Rhinoceros,1429,Gujarat,Critically Endangered,100.87,34607.67,Human Conflict,8.45,473,40,4
1900,Indian Rhinoceros,5060,Madhya Pradesh,Critically Endangered,98.33,20504.82,Human Conflict,12.98,1993,40,40
1900,Indian Rhinoceros,3291,Sikkim,Endangered,94.59,11349.19,Disease,5.31,834,40,9
1900,One-horned Rhinoceros,4731,West Bengal,Endangered,80.97,38014.25,Habitat Loss,11.77,1756,40,13
1900,One-horned Rhinoceros,5274,Assam,Endangered,109.31,1860.14,Habitat Loss,5.36,1798,40,11
1900,One-horned Rhinoceros,7972,Uttarakhand,Endangered,91.28,38489.88,Climate Change,6.22,2300,40,4
1900,One-horned Rhinoceros,3547,Sikkim,Endangered,93.54,44783.83,Human Conflict,13.99,1398,40,45
1900,One-horned Rhinoceros,6077,Assam,Critically Endangered,103.34,36004.94,Climate Change,14.01,2096,40,4
1900,One-horned Rhinoceros,1877,West Bengal,Critically Endangered,115.75,32016.41,Habitat Loss,4.99,498,40,47
1900,One-horned Rhinoceros,6630,Kerala,Critically Endangered,88.83,38571.4,Disease,4.64,2415,40,7
1900,One-horned Rhinoceros,7922,Uttarakhand,Endangered,110.67,15984.48,Habitat Loss,5.82,2766,40,12
1900,One-horned Rhinoceros,3560,Assam,Vulnerable,86.94,20226.31,Poaching,6.67,1331,40,27
1900,One-horned Rhinoceros,1702,Maharashtra,Endangered,81.17,37672.3,Climate Change,14.12,616,40,22
1900,One-horned Rhinoceros,2605,Uttarakhand,Endangered,88.57,45347.85,Human Conflict,6.6,940,40,15
1900,Red Panda,7041,Kerala,Endangered,110.78,42690.92,Human Conflict,6.27,1784,10,41
1900,Red Panda,9034,Sikkim,Vulnerable,108.08,48729.45,Climate Change,14.13,2556,10,16
1900,Red Panda,4864,Uttarakhand,Vulnerable,99.57,39982.84,Climate Change,13.12,1732,10,0
1900,Red Panda,9749,Gujarat,Critically Endangered,92.74,37845.64,Human Conflict,7,3466,10,11
1900,Red Panda,1214,Gujarat,Critically Endangered,101.67,38649.72,Habitat Loss,5.89,421,10,32
1900,Red Panda,7789,Gujarat,Vulnerable,97.21,41350.67,Human Conflict,4.96,3006,10,32
1900,Red Panda,13960,Karnataka,Critically Endangered,84.72,19502.91,Poaching,3.11,4948,10,9
1900,Red Panda,698,Maharashtra,Vulnerable,109.63,25562.61,Habitat Loss,3.06,264,10,28
1900,Red Panda,12693,West Bengal,Vulnerable,115.02,5888.57,Habitat Loss,13.51,4115,10,15
1900,Red Panda,2538,Sikkim,Critically Endangered,116.73,40879.02,Disease,12.06,770,10,26
1900,Red Panda,12835,Maharashtra,Critically Endangered,80.75,11900.21,Disease,3.01,4765,10,41
1900,Red Panda,10770,Uttarakhand,Endangered,111.28,25522.35,Disease,14.09,2248,10,36
1900,Red Panda,4205,Gujarat,Vulnerable,106.59,29551.41,Climate Change,13.09,1593,10,14
1900,Red Panda,939,Kerala,Critically Endangered,88.46,13418.81,Poaching,7.63,277,10,28
1900,Red Panda,6828,Uttarakhand,Critically Endangered,100.67,41954.44,Habitat Loss,9.91,1715,10,38
1900,Red Panda,12459,Kerala,Vulnerable,85.85,47753.59,Poaching,4.59,2952,10,38
1900,Snow Leopard,267,Assam,Critically Endangered,97.99,20850.54,Disease,3.63,80,18,2
1900,Snow Leopard,292,Uttarakhand,Critically Endangered,102.25,8166.33,Climate Change,6.24,94,18,17
1900,Snow Leopard,743,Uttarakhand,Endangered,89.37,15607.16,Climate Change,15,232,18,10
1900,Snow Leopard,2026,Gujarat,Endangered,96.22,23346.6,Human Conflict,6.2,560,18,31
1900,Snow Leopard,1970,Kerala,Vulnerable,89.94,6173.31,Poaching,9.5,783,18,41
1900,Snow Leopard,2946,Madhya Pradesh,Vulnerable,82.88,29042.43,Habitat Loss,12.51,915,18,32
1900,Snow Leopard,2797,Tamil Nadu,Critically Endangered,112.44,12073.12,Habitat Loss,11.02,770,18,0
1900,Snow Leopard,1543,Maharashtra,Endangered,102.84,49089.28,Poaching,9.3,342,18,38
1900,Snow Leopard,2473,Madhya Pradesh,Vulnerable,97.59,37005.81,Human Conflict,5.14,813,18,20
1900,Snow Leopard,1298,Tamil Nadu,Endangered,101.86,28593.38,Disease,10.68,313,18,37
1900,Snow Leopard,2923,Gujarat,Endangered,81.17,7443.12,Human Conflict,6.94,1014,18,27
1900,Snow Leopard,334,Assam,Vulnerable,80.84,19298.06,Human Conflict,5.41,104,18,14
1900,Snow Leopard,2033,Uttarakhand,Endangered,101.04,38518.16,Habitat Loss,3.71,718,18,49
1901,Asiatic Lion,143,Assam,Endangered,119.04,10585.32,Habitat Loss,5.59,56,21,25
1901,Asiatic Lion,2085,West Bengal,Vulnerable,84.79,11340.73,Climate Change,12.87,659,21,23
1901,Asiatic Lion,120,Kerala,Endangered,110.16,43657.1,Human Conflict,7.97,43,21,10
1901,Asiatic Lion,107,Gujarat,Endangered,86.89,17701.02,Human Conflict,14.04,32,21,23
1901,Asiatic Lion,949,Tamil Nadu,Endangered,110.21,47847.81,Disease,6.48,368,21,29
1901,Asiatic Lion,2406,Karnataka,Critically Endangered,110.5,24381.94,Habitat Loss,14.28,894,21,10
1901,Asiatic Lion,1511,West Bengal,Vulnerable,85.53,40013.45,Climate Change,6.01,588,21,14
1901,Asiatic Lion,2038,Karnataka,Vulnerable,85.05,5467.28,Human Conflict,8.45,578,21,30
1901,Bengal Tiger,1377,Sikkim,Critically Endangered,87.54,30605.99,Disease,3.68,496,22,31
1901,Bengal Tiger,1753,Gujarat,Critically Endangered,87.99,3703.75,Disease,6.36,416,22,24
1901,Bengal Tiger,2404,Gujarat,Endangered,87.61,17334.4,Poaching,8.09,522,22,25
1901,Bengal Tiger,1732,Assam,Endangered,96.95,26550.1,Habitat Loss,11.21,625,22,16
1901,Bengal Tiger,480,Tamil Nadu,Vulnerable,93.14,43190.24,Disease,3.09,121,22,18
1901,Bengal Tiger,1238,Gujarat,Critically Endangered,88.15,29018.26,Human Conflict,5.22,359,22,4
1901,Bengal Tiger,375,Maharashtra,Critically Endangered,82.67,19471.18,Disease,4.19,81,22,8
1901,Bengal Tiger,1688,Maharashtra,Endangered,81.67,6099.24,Poaching,3.44,647,22,36
1901,Bengal Tiger,2467,West Bengal,Vulnerable,103.35,35224.24,Human Conflict,13.8,786,22,30
1901,Bengal Tiger,782,Assam,Critically Endangered,119.01,43933.95,Habitat Loss,2.87,164,22,4
1901,Bengal Tiger,151,Kerala,Endangered,87.36,5948.4,Poaching,14.12,45,22,29
1901,Bengal Tiger,1232,Assam,Critically Endangered,81.73,2005.64,Human Conflict,9.79,346,22,37
1901,Bengal Tiger,2161,Uttarakhand,Critically Endangered,89.28,18451.64,Disease,8.36,804,22,21
1901,Blackbuck,9129,Sikkim,Critically Endangered,84.57,18307.21,Human Conflict,2.54,1900,14,30
1901,Blackbuck,6394,Karnataka,Critically Endangered,118.37,24244.96,Disease,7.74,2390,14,17
1901,Blackbuck,9528,Tamil Nadu,Critically Endangered,91.71,49748.67,Disease,3.28,3381,14,18
1901,Blackbuck,12058,Assam,Endangered,108.23,39517.47,Poaching,12.2,2948,14,6
1901,Blackbuck,2592,Kerala,Critically Endangered,102.3,47442.77,Climate Change,12.36,972,14,33
1901,Blackbuck,5681,Tamil Nadu,Critically Endangered,85.13,31226.63,Disease,11.62,2045,14,27
1901,Blackbuck,6255,Gujarat,Endangered,100.2,15682.65,Disease,14.34,1764,14,3
1901,Blackbuck,13717,Madhya Pradesh,Endangered,114.77,40871.64,Climate Change,14.37,4125,14,38
1901,Blackbuck,11583,Assam,Critically Endangered,106.88,17461.1,Habitat Loss,4.77,3386,14,41
1901,Indian Elephant,1667,Uttarakhand,Endangered,88.75,49327.31,Poaching,14.67,402,65,20
1901,Indian Elephant,6582,Uttarakhand,Critically Endangered,100.5,43807.76,Poaching,7.36,1774,65,50
1901,Indian Elephant,986,Gujarat,Critically Endangered,83.51,25648.8,Poaching,13.16,355,65,37
1901,Indian Elephant,5366,Madhya Pradesh,Critically Endangered,118.95,46899.43,Habitat Loss,13.5,1932,65,13
1901,Indian Elephant,7667,Gujarat,Critically Endangered,87.5,39202.88,Disease,7.02,2112,65,43
1901,Indian Elephant,1511,West Bengal,Vulnerable,86.55,37826.44,Human Conflict,3.73,311,65,2
1901,Indian Elephant,6830,Maharashtra,Critically Endangered,85.01,27522.9,Disease,10.64,2065,65,11
1901,Indian Elephant,5134,West Bengal,Critically Endangered,113.3,47184.31,Human Conflict,11.96,1908,65,17
1901,Indian Elephant,7907,Uttarakhand,Endangered,116.3,46184.85,Habitat Loss,13.79,2803,65,35
1901,Indian Elephant,2088,Kerala,Critically Endangered,89.05,23123.55,Habitat Loss,3.5,423,65,18
1901,Indian Elephant,1627,Gujarat,Vulnerable,85.92,19014.31,Human Conflict,7.44,600,65,21
1901,Indian Elephant,3024,Maharashtra,Vulnerable,87.66,9273.95,Habitat Loss,4.9,944,65,48
1901,Indian Gaur,5208,Kerala,Vulnerable,92.5,30816.6,Habitat Loss,12.05,1610,22,47
1901,Indian Gaur,14722,Sikkim,Vulnerable,95.96,11519.35,Human Conflict,14.23,5041,22,28
1901,Indian Gaur,1626,Kerala,Vulnerable,97.68,42538.34,Habitat Loss,4.5,560,22,32
1901,Indian Gaur,13770,Tamil Nadu,Endangered,114.79,17393.67,Human Conflict,6.45,3636,22,16
1901,Indian Gaur,13411,Tamil Nadu,Critically Endangered,101.54,11909.94,Poaching,10.86,4973,22,48
1901,Indian Gaur,11331,Karnataka,Endangered,113.39,7680.43,Human Conflict,6.94,3167,22,44
1901,Indian Gaur,9150,Tamil Nadu,Critically Endangered,97.41,13801.89,Climate Change,6.29,3401,22,37
1901,Indian Gaur,3292,Madhya Pradesh,Vulnerable,83.05,3445.48,Disease,14.14,997,22,44
1901,Indian Gaur,6248,Kerala,Critically Endangered,84.67,15285.42,Disease,11.29,2267,22,13
1901,Indian Gaur,5116,Maharashtra,Endangered,84.17,45735.27,Human Conflict,14.99,1576,22,20
1901,Indian Leopard,3936,Uttarakhand,Vulnerable,91.27,46825.53,Disease,4.25,851,15,40
1901,Indian Leopard,10032,Madhya Pradesh,Endangered,86.58,6728.37,Human Conflict,9.5,2044,15,29
1901,Indian Leopard,2337,West Bengal,Vulnerable,82.9,15256.05,Disease,9.3,514,15,38
1901,Indian Leopard,6710,West Bengal,Critically Endangered,94.24,29979.82,Disease,4.4,2123,15,5
1901,Indian Leopard,653,Gujarat,Endangered,111.45,26304.29,Human Conflict,8.28,140,15,33
1901,Indian Leopard,1448,Kerala,Critically Endangered,115.84,45782.74,Human Conflict,13.48,410,15,42
1901,Indian Leopard,8662,Sikkim,Endangered,85.54,13064.86,Human Conflict,10.04,2072,15,6
1901,Indian Leopard,6373,Tamil Nadu,Critically Endangered,87.11,36731.21,Habitat Loss,14.08,2523,15,43
1901,Indian Leopard,6696,Maharashtra,Critically Endangered,87.81,38792.58,Habitat Loss,13.84,1787,15,40
1901,Indian Leopard,11208,Kerala,Endangered,114.41,19960.48,Human Conflict,13.77,4096,15,26
1901,Indian Rhinoceros,4714,Kerala,Endangered,86.1,39450.73,Climate Change,8.19,1238,40,23
1901,Indian Rhinoceros,2818,Kerala,Endangered,113.04,41491.87,Human Conflict,8.91,848,40,11
1901,Indian Rhinoceros,4910,Gujarat,Endangered,110.14,23344.84,Climate Change,8.79,1104,40,7
1901,Indian Rhinoceros,3184,Tamil Nadu,Endangered,113.73,24970.74,Habitat Loss,4.71,897,40,0
1901,Indian Rhinoceros,1599,Uttarakhand,Critically Endangered,82.46,15480.78,Human Conflict,5.78,562,40,20
1901,Indian Rhinoceros,6789,West Bengal,Endangered,106.37,30084.8,Climate Change,7.39,2213,40,32
1901,Indian Rhinoceros,3116,Sikkim,Vulnerable,97.64,39393.92,Habitat Loss,10.83,878,40,41
1901,Indian Rhinoceros,2555,Maharashtra,Critically Endangered,84.06,46376.96,Poaching,4.94,993,40,24
1901,One-horned Rhinoceros,1609,Madhya Pradesh,Endangered,113.47,12526.96,Poaching,8.25,624,40,30
1901,One-horned Rhinoceros,1646,West Bengal,Endangered,94.63,35868.24,Climate Change,7.68,642,40,28
1901,One-horned Rhinoceros,3054,Tamil Nadu,Critically Endangered,89.94,18824.15,Poaching,6.97,668,40,40
1901,One-horned Rhinoceros,452,Madhya Pradesh,Vulnerable,89.01,1465.02,Disease,4.84,136,40,40
1901,One-horned Rhinoceros,5538,Tamil Nadu,Vulnerable,104.62,15032.73,Human Conflict,9.99,1887,40,3
1901,One-horned Rhinoceros,1659,Kerala,Endangered,103.76,42538.68,Disease,5.62,368,40,49
1901,One-horned Rhinoceros,2916,Assam,Vulnerable,91.78,46424.11,Habitat Loss,10.8,931,40,7
1901,One-horned Rhinoceros,2226,Karnataka,Endangered,106.1,35797.8,Habitat Loss,4.81,851,40,28
1901,One-horned Rhinoceros,5267,Tamil Nadu,Vulnerable,111.65,30252.88,Climate Change,5.71,1714,40,17
1901,One-horned Rhinoceros,375,Sikkim,Critically Endangered,89.69,44126.16,Habitat Loss,3.6,87,40,6
1901,Red Panda,1089,Kerala,Critically Endangered,103.66,4892.27,Habitat Loss,11.02,434,10,22
1901,Red Panda,7626,Tamil Nadu,Endangered,115.36,22193.43,Human Conflict,4.86,2493,10,32
1901,Red Panda,2114,Madhya Pradesh,Vulnerable,82.24,13231.63,Habitat Loss,14.32,571,10,16
1901,Red Panda,2836,Kerala,Endangered,105.27,39955.05,Poaching,12.15,971,10,18
1901,Red Panda,6450,Sikkim,Vulnerable,97.51,34897.94,Climate Change,11.68,1968,10,3
1901,Red Panda,8194,Tamil Nadu,Endangered,100.52,29648.33,Habitat Loss,13.58,1958,10,11
1901,Red Panda,1360,West Bengal,Vulnerable,102.75,16468.03,Human Conflict,12.97,397,10,31
1901,Red Panda,4597,Assam,Vulnerable,91.22,21030.97,Disease,10.97,1513,10,45
1901,Red Panda,5317,Sikkim,Endangered,116.12,4909.6,Habitat Loss,13.63,2045,10,5
1901,Red Panda,2897,Madhya Pradesh,Critically Endangered,84.98,28628.17,Habitat Loss,14.91,731,10,2
1901,Red Panda,14229,Madhya Pradesh,Endangered,86.59,26073.59,Poaching,7.45,5190,10,2
1901,Red Panda,9761,Sikkim,Vulnerable,107.98,15192.96,Poaching,2.21,2905,10,37
1901,Red Panda,13627,Tamil Nadu,Vulnerable,89.16,15100.54,Habitat Loss,10.78,3143,10,8
1901,Red Panda,8416,Uttarakhand,Critically Endangered,98.51,25302.42,Human Conflict,3.83,2230,10,28
1901,Red Panda,7055,Gujarat,Endangered,119.1,29393.16,Disease,5.33,2816,10,4
1901,Red Panda,11721,Tamil Nadu,Critically Endangered,109.46,30394.2,Poaching,5.37,2892,10,28
1901,Red Panda,11260,Madhya Pradesh,Critically Endangered,100.08,18179.12,Climate Change,7.51,4242,10,43
1901,Red Panda,6795,Madhya Pradesh,Critically Endangered,89.49,31999.38,Poaching,4.52,1871,10,27
1901,Snow Leopard,2054,Tamil Nadu,Vulnerable,108.33,24388.94,Poaching,14.78,789,18,16
1901,Snow Leopard,2490,Sikkim,Critically Endangered,119.56,27524.96,Disease,9.23,645,18,16
1901,Snow Leopard,1159,Karnataka,Vulnerable,96.69,46052.68,Poaching,10.32,247,18,38
1901,Snow Leopard,162,Uttarakhand,Endangered,114.51,30307.89,Human Conflict,3.28,41,18,23
1901,Snow Leopard,1438,Kerala,Endangered,117.62,19271.13,Disease,12.84,400,18,30
1901,Snow Leopard,1673,Maharashtra,Vulnerable,107.45,28905.76,Disease,13.34,658,18,20
1901,Snow Leopard,1568,Assam,Critically Endangered,103.87,29142.93,Disease,7.33,595,18,3
1901,Snow Leopard,1545,Gujarat,Critically Endangered,84.52,1298.64,Climate Change,2.53,377,18,42
1901,Snow Leopard,2597,Tamil Nadu,Vulnerable,97.92,32412.62,Climate Change,2.54,809,18,3
1901,Snow Leopard,1800,Madhya Pradesh,Critically Endangered,103.48,4335.85,Disease,10.48,657,18,41
1901,Snow Leopard,274,Gujarat,Critically Endangered,104.35,10969.23,Disease,7.02,67,18,38
1901,Snow Leopard,708,Sikkim,Endangered,91.63,22907.77,Human Conflict,13.79,247,18,14
1902,Asiatic Lion,1790,Madhya Pradesh,Vulnerable,84.92,35165.91,Human Conflict,12.35,401,21,17
1902,Asiatic Lion,2380,Tamil Nadu,Critically Endangered,93.29,25128.59,Poaching,2.67,738,21,5
1902,Asiatic Lion,642,Tamil Nadu,Vulnerable,104.72,33222.72,Habitat Loss,7.8,169,21,35
1902,Asiatic Lion,1498,Maharashtra,Critically Endangered,88.47,2823.22,Habitat Loss,10.89,592,21,16
1902,Asiatic Lion,667,Madhya Pradesh,Vulnerable,100.68,22830.1,Poaching,13.8,170,21,49
1902,Asiatic Lion,1375,Kerala,Endangered,117.58,5811.45,Disease,8.74,511,21,7
1902,Asiatic Lion,2904,Sikkim,Endangered,108.49,43808.98,Climate Change,8.45,877,21,17
1902,Asiatic Lion,562,Kerala,Vulnerable,109.83,49110.77,Poaching,9.53,114,21,26
1902,Asiatic Lion,2580,West Bengal,Endangered,118.94,43044.38,Habitat Loss,10.95,520,21,42
1902,Asiatic Lion,2743,Assam,Endangered,108.64,48454.11,Climate Change,8.68,844,21,17
1902,Asiatic Lion,1159,Tamil Nadu,Endangered,102.37,37857.91,Disease,14.14,368,21,24
1902,Asiatic Lion,390,Maharashtra,Vulnerable,80.59,3744.79,Disease,5.64,155,21,18
1902,Bengal Tiger,2147,Karnataka,Vulnerable,81.69,26243.46,Climate Change,9.52,845,22,12
1902,Bengal Tiger,1056,Uttarakhand,Vulnerable,84.23,26868.36,Climate Change,3.55,394,22,42
1902,Bengal Tiger,1678,Sikkim,Endangered,89.49,7338.8,Disease,8.91,541,22,17
1902,Bengal Tiger,133,Sikkim,Critically Endangered,110.67,33269.6,Disease,8.33,40,22,49
1902,Bengal Tiger,2573,Tamil Nadu,Endangered,117.95,15808.86,Habitat Loss,8.56,954,22,4
1902,Bengal Tiger,1392,Kerala,Critically Endangered,114.02,18347.57,Disease,9.41,328,22,39
1902,Bengal Tiger,335,Kerala,Critically Endangered,109.29,18208.74,Habitat Loss,7.03,86,22,34
1902,Bengal Tiger,1288,Gujarat,Critically Endangered,95.22,41973.24,Human Conflict,2.77,425,22,48
1902,Bengal Tiger,1398,West Bengal,Endangered,91.13,7728.2,Poaching,13.65,349,22,7
1902,Bengal Tiger,1287,Tamil Nadu,Vulnerable,104.45,45956.22,Disease,8.08,483,22,35
1902,Bengal Tiger,1218,Tamil Nadu,Vulnerable,99.31,18899.48,Climate Change,14.08,294,22,42
1902,Bengal Tiger,188,Tamil Nadu,Vulnerable,88.06,29795.99,Climate Change,8.74,43,22,18
1902,Bengal Tiger,2334,Maharashtra,Vulnerable,117.86,36317.48,Habitat Loss,12.88,918,22,47
1902,Bengal Tiger,2304,Gujarat,Vulnerable,96.15,16223.45,Human Conflict,9.24,549,22,20
1902,Bengal Tiger,1678,Sikkim,Critically Endangered,111.31,33449.86,Human Conflict,8.97,400,22,8
1902,Blackbuck,3388,Tamil Nadu,Critically Endangered,105.93,23417.4,Habitat Loss,10.87,821,14,30
1902,Blackbuck,1505,Uttarakhand,Vulnerable,80.64,2836.54,Disease,12,481,14,35
1902,Blackbuck,10616,Madhya Pradesh,Critically Endangered,93.35,6350.06,Climate Change,8.73,3821,14,46
1902,Blackbuck,4860,Tamil Nadu,Critically Endangered,110.75,39829.84,Human Conflict,9.39,1493,14,27
1902,Blackbuck,4740,Uttarakhand,Vulnerable,88.09,46045.18,Human Conflict,3,1132,14,38
1902,Blackbuck,8339,Madhya Pradesh,Critically Endangered,101.28,23395.47,Poaching,5.18,3322,14,44
1902,Blackbuck,4873,Uttarakhand,Critically Endangered,84.35,41594.23,Habitat Loss,13.27,1327,14,9
1902,Blackbuck,2082,Kerala,Vulnerable,84.47,1229.13,Habitat Loss,3.55,418,14,15
1902,Blackbuck,4952,Uttarakhand,Endangered,109.86,1394.99,Climate Change,7.78,1276,14,36
1902,Blackbuck,1502,Kerala,Endangered,106.85,23006.19,Poaching,10.04,596,14,45
1902,Blackbuck,4970,Assam,Critically Endangered,113.76,34497.92,Habitat Loss,2.27,1312,14,14
1902,Indian Elephant,7902,Maharashtra,Endangered,88,28164.06,Poaching,12.51,3024,65,12
1902,Indian Elephant,1663,West Bengal,Endangered,94.29,13494.42,Disease,9.1,495,65,33
1902,Indian Elephant,6366,Tamil Nadu,Vulnerable,104.55,24891.32,Disease,10.52,2538,65,13
1902,Indian Elephant,3186,Tamil Nadu,Critically Endangered,114.19,11920.51,Climate Change,5.89,1212,65,36
1902,Indian Elephant,3291,Gujarat,Vulnerable,119.92,45426.27,Disease,14.34,1127,65,43
1902,Indian Elephant,4842,Kerala,Critically Endangered,107.94,49267.97,Poaching,2.35,1401,65,20
1902,Indian Elephant,6014,Maharashtra,Endangered,88.51,5714.4,Climate Change,12.32,1827,65,0
